"Item ID","Item Name","Question ID","Associated Question ID","Total Points","Question Type",Question,"Position Number",Sub-Question,"Answer Option","Answer Breakdown","Answer Breakdown","Correct Answer","Correctly Answered","Most Points Earned","Least Points Earned","Average Points Earned",Standards,Standards
7893398199,"Chapter 17",2156448924,,1,"Multiple Choice"," Jane asked her friends what they like to do for fun. She made this table to show their answers. <https://app.schoology.com/system/files/http%3A/%252Fapp.schoology.com/system/files/attachments/page_embeds/m/2022-07/781721_62c44e79ccd55.gif> How many more friends like drawing than painting? ",n/a,n/a,"a. 2",1,0.05,"c. 5",0.89,1,0,0.89,MA.2.DP.1.2
7893398199,"Chapter 17",2156448924,,1,"Multiple Choice"," Jane asked her friends what they like to do for fun. She made this table to show their answers. <https://app.schoology.com/system/files/http%3A/%252Fapp.schoology.com/system/files/attachments/page_embeds/m/2022-07/781721_62c44e79ccd55.gif> How many more friends like drawing than painting? ",n/a,n/a,"b. 3",1,0.05,"c. 5",0.89,1,0,0.89,MA.2.DP.1.2
7893398199,"Chapter 17",2156448924,,1,"Multiple Choice"," Jane asked her friends what they like to do for fun. She made this table to show their answers. <https://app.schoology.com/system/files/http%3A/%252Fapp.schoology.com/system/files/attachments/page_embeds/m/2022-07/781721_62c44e79ccd55.gif> How many more friends like drawing than painting? ",n/a,n/a,"c. 5",17,0.89,"c. 5",0.89,1,0,0.89,MA.2.DP.1.2
7893398199,"Chapter 17",2156448925,,1,"Multiple Choice"," The pictograph shows the number of basketball games that Dani plays each month. <https://app.schoology.com/system/files/http%3A/%252Fapp.schoology.com/system/files/attachments/page_embeds/m/2022-07/781732_62c44e79e397e.gif> How many basketball games does Dani play in December and January? ",n/a,n/a,"a. 2",1,0.05,"c. 6",0.95,1,0,0.95,MA.2.DP.1.2,MA.2.DP.1.1
7893398199,"Chapter 17",2156448925,,1,"Multiple Choice"," The pictograph shows the number of basketball games that Dani plays each month. <https://app.schoology.com/system/files/http%3A/%252Fapp.schoology.com/system/files/attachments/page_embeds/m/2022-07/781732_62c44e79e397e.gif> How many basketball games does Dani play in December and January? ",n/a,n/a,"b. 4",0,0,"c. 6",0.95,1,0,0.95,MA.2.DP.1.2,MA.2.DP.1.1
7893398199,"Chapter 17",2156448925,,1,"Multiple Choice"," The pictograph shows the number of basketball games that Dani plays each month. <https://app.schoology.com/system/files/http%3A/%252Fapp.schoology.com/system/files/attachments/page_embeds/m/2022-07/781732_62c44e79e397e.gif> How many basketball games does Dani play in December and January? ",n/a,n/a,"c. 6",18,0.95,"c. 6",0.95,1,0,0.95,MA.2.DP.1.2,MA.2.DP.1.1
7893398199,"Chapter 17",2156448926,,1,"Multiple Choice"," Grace is making a graph to show the pizza toppings some children like best. She knows that the number of children who like cheese best is the same as the total number who like ham or sausage. <https://app.schoology.com/system/files/http%3A/%252Fapp.schoology.com/system/files/attachments/page_embeds/m/2022-07/781775_62c44e7a120cf.gif> How should Grace show on the graph the number of children who like cheese best? ",n/a,n/a,"a. Add 2 pizza slices to the cheese column. <https://app.schoology.com/system/files/http%3A/%252Fapp.schoology.com/system/files/attachments/page_embeds/m/2022-07/781697_62c44e7a23ed4.gif>",2,0.11,"c. Add 5 pizza slices to the cheese column. <https://app.schoology.com/system/files/http%3A/%252Fapp.schoology.com/system/files/attachments/page_embeds/m/2022-07/781699_62c44e7a3fe51.gif>",0.68,1,0,0.68
7893398199,"Chapter 17",2156448926,,1,"Multiple Choice"," Grace is making a graph to show the pizza toppings some children like best. She knows that the number of children who like cheese best is the same as the total number who like ham or sausage. <https://app.schoology.com/system/files/http%3A/%252Fapp.schoology.com/system/files/attachments/page_embeds/m/2022-07/781775_62c44e7a120cf.gif> How should Grace show on the graph the number of children who like cheese best? ",n/a,n/a,"b. Add 3 pizza slices to the cheese column. <https://app.schoology.com/system/files/http%3A/%252Fapp.schoology.com/system/files/attachments/page_embeds/m/2022-07/781698_62c44e7a3180e.gif>",4,0.21,"c. Add 5 pizza slices to the cheese column. <https://app.schoology.com/system/files/http%3A/%252Fapp.schoology.com/system/files/attachments/page_embeds/m/2022-07/781699_62c44e7a3fe51.gif>",0.68,1,0,0.68
7893398199,"Chapter 17",2156448926,,1,"Multiple Choice"," Grace is making a graph to show the pizza toppings some children like best. She knows that the number of children who like cheese best is the same as the total number who like ham or sausage. <https://app.schoology.com/system/files/http%3A/%252Fapp.schoology.com/system/files/attachments/page_embeds/m/2022-07/781775_62c44e7a120cf.gif> How should Grace show on the graph the number of children who like cheese best? ",n/a,n/a,"c. Add 5 pizza slices to the cheese column. <https://app.schoology.com/system/files/http%3A/%252Fapp.schoology.com/system/files/attachments/page_embeds/m/2022-07/781699_62c44e7a3fe51.gif>",13,0.68,"c. Add 5 pizza slices to the cheese column. <https://app.schoology.com/system/files/http%3A/%252Fapp.schoology.com/system/files/attachments/page_embeds/m/2022-07/781699_62c44e7a3fe51.gif>",0.68,1,0,0.68
7893398199,"Chapter 17",2156448927,,1,"Fill in the Blank"," Max made this graph to show some children’s favorite kinds of movies. <https://app.schoology.com/system/files/http%3A/%252Fapp.schoology.com/system/files/attachments/page_embeds/m/2022-07/793184_62c44e7a55e8c.gif> How many children like cartoons best? Enter the answer in the box.  _  ",1,n/a,6,18,0.95,6,0.95,1,0,0.95,MA.2.DP.1.2
7893398199,"Chapter 17",2156448927,,1,"Fill in the Blank"," Max made this graph to show some children’s favorite kinds of movies. <https://app.schoology.com/system/files/http%3A/%252Fapp.schoology.com/system/files/attachments/page_embeds/m/2022-07/793184_62c44e7a55e8c.gif> How many children like cartoons best? Enter the answer in the box.  _  ",1,n/a,animal,1,0.05,6,0.95,1,0,0.95,MA.2.DP.1.2
7893398199,"Chapter 17",2156448928,,1,"Fill in the Blank","Use the graph to answer the following question. <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2023-04/Screenshot_2023-04-24_at_7.07.52_PM_64470bd942b49.png>  The number of people that chose green equals the number of people that chose blue and red. Where would would we shade the bar for green to, to show the correct number of people?  _ people",1,n/a,7,16,0.84,7,0.84,1,0,0.84,MA.2.DP.1.2,MA.2.DP.1.1
7893398199,"Chapter 17",2156448928,,1,"Fill in the Blank","Use the graph to answer the following question. <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2023-04/Screenshot_2023-04-24_at_7.07.52_PM_64470bd942b49.png>  The number of people that chose green equals the number of people that chose blue and red. Where would would we shade the bar for green to, to show the correct number of people?  _ people",1,n/a,15,1,0.05,7,0.84,1,0,0.84,MA.2.DP.1.2,MA.2.DP.1.1
7893398199,"Chapter 17",2156448928,,1,"Fill in the Blank","Use the graph to answer the following question. <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2023-04/Screenshot_2023-04-24_at_7.07.52_PM_64470bd942b49.png>  The number of people that chose green equals the number of people that chose blue and red. Where would would we shade the bar for green to, to show the correct number of people?  _ people",1,n/a,8,1,0.05,7,0.84,1,0,0.84,MA.2.DP.1.2,MA.2.DP.1.1
7893398199,"Chapter 17",2156448928,,1,"Fill in the Blank","Use the graph to answer the following question. <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2023-04/Screenshot_2023-04-24_at_7.07.52_PM_64470bd942b49.png>  The number of people that chose green equals the number of people that chose blue and red. Where would would we shade the bar for green to, to show the correct number of people?  _ people",1,n/a,4,1,0.05,7,0.84,1,0,0.84,MA.2.DP.1.2,MA.2.DP.1.1
7893398199,"Chapter 17",2156448929,,1,"Multiple Choice","Use the pictograph to answer the following questions: <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2023-04/Screenshot_2023-04-24_at_7.20.22_PM_64470ef3ca6a6.png> How many bees were in the garden?",n/a,n/a,"a. 3",0,0,"b. 30",0.95,1,0,0.95,MA.2.DP.1.2,MA.2.DP.1.1
7893398199,"Chapter 17",2156448929,,1,"Multiple Choice","Use the pictograph to answer the following questions: <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2023-04/Screenshot_2023-04-24_at_7.20.22_PM_64470ef3ca6a6.png> How many bees were in the garden?",n/a,n/a,"b. 30",18,0.95,"b. 30",0.95,1,0,0.95,MA.2.DP.1.2,MA.2.DP.1.1
7893398199,"Chapter 17",2156448929,,1,"Multiple Choice","Use the pictograph to answer the following questions: <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2023-04/Screenshot_2023-04-24_at_7.20.22_PM_64470ef3ca6a6.png> How many bees were in the garden?",n/a,n/a,"c. 20",0,0,"b. 30",0.95,1,0,0.95,MA.2.DP.1.2,MA.2.DP.1.1
7893398199,"Chapter 17",2156448929,,1,"Multiple Choice","Use the pictograph to answer the following questions: <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2023-04/Screenshot_2023-04-24_at_7.20.22_PM_64470ef3ca6a6.png> How many bees were in the garden?",n/a,n/a,"d. 40",0,0,"b. 30",0.95,1,0,0.95,MA.2.DP.1.2,MA.2.DP.1.1
7893398199,"Chapter 17",2156448929,,1,"Multiple Choice","Use the pictograph to answer the following questions: <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2023-04/Screenshot_2023-04-24_at_7.20.22_PM_64470ef3ca6a6.png> How many bees were in the garden?",n/a,n/a,n/a,1,0.05,"b. 30",0.95,1,0,0.95,MA.2.DP.1.2,MA.2.DP.1.1
7893398199,"Chapter 17",2156448930,,1,"Multiple Choice","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2023-04/Screenshot_2023-04-24_at_7.20.22_PM_6447105ec4a81.png> How many more butterflies than dragonflies were seen in the garden?",n/a,n/a,"a. 40",1,0.05,"c. 30",0.84,1,0,0.84,MA.2.DP.1.2,MA.2.DP.1.1
7893398199,"Chapter 17",2156448930,,1,"Multiple Choice","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2023-04/Screenshot_2023-04-24_at_7.20.22_PM_6447105ec4a81.png> How many more butterflies than dragonflies were seen in the garden?",n/a,n/a,"b. 4",0,0,"c. 30",0.84,1,0,0.84,MA.2.DP.1.2,MA.2.DP.1.1
7893398199,"Chapter 17",2156448930,,1,"Multiple Choice","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2023-04/Screenshot_2023-04-24_at_7.20.22_PM_6447105ec4a81.png> How many more butterflies than dragonflies were seen in the garden?",n/a,n/a,"c. 30",16,0.84,"c. 30",0.84,1,0,0.84,MA.2.DP.1.2,MA.2.DP.1.1
7893398199,"Chapter 17",2156448930,,1,"Multiple Choice","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2023-04/Screenshot_2023-04-24_at_7.20.22_PM_6447105ec4a81.png> How many more butterflies than dragonflies were seen in the garden?",n/a,n/a,"d. 3",1,0.05,"c. 30",0.84,1,0,0.84,MA.2.DP.1.2,MA.2.DP.1.1
7893398199,"Chapter 17",2156448930,,1,"Multiple Choice","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2023-04/Screenshot_2023-04-24_at_7.20.22_PM_6447105ec4a81.png> How many more butterflies than dragonflies were seen in the garden?",n/a,n/a,n/a,1,0.05,"c. 30",0.84,1,0,0.84,MA.2.DP.1.2,MA.2.DP.1.1
7893398199,"Chapter 17",2156448931,,1,"Multiple Choice","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2023-04/Screenshot_2023-04-24_at_7.20.22_PM_64470fc56a142.png> How many butterflies were seen in the garden?",n/a,n/a,"a. 4",0,0,"b. 40",0.89,1,0,0.89,MA.2.DP.1.2,MA.2.DP.1.1
7893398199,"Chapter 17",2156448931,,1,"Multiple Choice","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2023-04/Screenshot_2023-04-24_at_7.20.22_PM_64470fc56a142.png> How many butterflies were seen in the garden?",n/a,n/a,"b. 40",17,0.89,"b. 40",0.89,1,0,0.89,MA.2.DP.1.2,MA.2.DP.1.1
7893398199,"Chapter 17",2156448931,,1,"Multiple Choice","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2023-04/Screenshot_2023-04-24_at_7.20.22_PM_64470fc56a142.png> How many butterflies were seen in the garden?",n/a,n/a,"c. 50",0,0,"b. 40",0.89,1,0,0.89,MA.2.DP.1.2,MA.2.DP.1.1
7893398199,"Chapter 17",2156448931,,1,"Multiple Choice","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2023-04/Screenshot_2023-04-24_at_7.20.22_PM_64470fc56a142.png> How many butterflies were seen in the garden?",n/a,n/a,"d. 5",0,0,"b. 40",0.89,1,0,0.89,MA.2.DP.1.2,MA.2.DP.1.1
7893398199,"Chapter 17",2156448931,,1,"Multiple Choice","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2023-04/Screenshot_2023-04-24_at_7.20.22_PM_64470fc56a142.png> How many butterflies were seen in the garden?",n/a,n/a,n/a,2,0.11,"b. 40",0.89,1,0,0.89,MA.2.DP.1.2,MA.2.DP.1.1
7893398199,"Chapter 17",2156448932,,1,"Multiple Choice","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2023-04/Screenshot_2023-04-24_at_7.20.22_PM_64471164e27a1.png> How many bees and ladybugs were seen in her garden?",n/a,n/a,"a. 5",0,0,"b. 50",0.95,1,1,1,MA.2.DP.1.2,MA.2.DP.1.1
7893398199,"Chapter 17",2156448932,,1,"Multiple Choice","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2023-04/Screenshot_2023-04-24_at_7.20.22_PM_64471164e27a1.png> How many bees and ladybugs were seen in her garden?",n/a,n/a,"b. 50",18,0.95,"b. 50",0.95,1,1,1,MA.2.DP.1.2,MA.2.DP.1.1
7893398199,"Chapter 17",2156448932,,1,"Multiple Choice","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2023-04/Screenshot_2023-04-24_at_7.20.22_PM_64471164e27a1.png> How many bees and ladybugs were seen in her garden?",n/a,n/a,"c. 4",0,0,"b. 50",0.95,1,1,1,MA.2.DP.1.2,MA.2.DP.1.1
7893398199,"Chapter 17",2156448932,,1,"Multiple Choice","  <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2023-04/Screenshot_2023-04-24_at_7.20.22_PM_64471164e27a1.png> How many bees and ladybugs were seen in her garden?",n/a,n/a,"d. 50",1,0.05,"b. 50",0.95,1,1,1,MA.2.DP.1.2,MA.2.DP.1.1
7893398199,"Chapter 17",2156448933,,1,"Multiple Choice","<https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2023-04/Screenshot_2023-04-24_at_7.35.02_PM_64471336432a9.png> Which pet did only 5 students like the most?",n/a,n/a,"a. bird",0,0,"d. fish",1,1,1,1,MA.2.DP.1.2,MA.2.DP.1.1
7893398199,"Chapter 17",2156448933,,1,"Multiple Choice","<https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2023-04/Screenshot_2023-04-24_at_7.35.02_PM_64471336432a9.png> Which pet did only 5 students like the most?",n/a,n/a,"b. cat",0,0,"d. fish",1,1,1,1,MA.2.DP.1.2,MA.2.DP.1.1
7893398199,"Chapter 17",2156448933,,1,"Multiple Choice","<https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2023-04/Screenshot_2023-04-24_at_7.35.02_PM_64471336432a9.png> Which pet did only 5 students like the most?",n/a,n/a,"c. dog ",0,0,"d. fish",1,1,1,1,MA.2.DP.1.2,MA.2.DP.1.1
7893398199,"Chapter 17",2156448933,,1,"Multiple Choice","<https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2023-04/Screenshot_2023-04-24_at_7.35.02_PM_64471336432a9.png> Which pet did only 5 students like the most?",n/a,n/a,"d. fish",19,1,"d. fish",1,1,1,1,MA.2.DP.1.2,MA.2.DP.1.1
7893398199,"Chapter 17",2156448934,,1,"Multiple Choice","<https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2023-04/Screenshot_2023-04-24_at_7.35.02_PM_6447123f67309.png> What animal did only 5 students like?",n/a,n/a,"a. bird",0,0,"d. fish",0.95,1,0,0.95,MA.2.DP.1.2,MA.2.DP.1.1
7893398199,"Chapter 17",2156448934,,1,"Multiple Choice","<https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2023-04/Screenshot_2023-04-24_at_7.35.02_PM_6447123f67309.png> What animal did only 5 students like?",n/a,n/a,"b. cat",0,0,"d. fish",0.95,1,0,0.95,MA.2.DP.1.2,MA.2.DP.1.1
7893398199,"Chapter 17",2156448934,,1,"Multiple Choice","<https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2023-04/Screenshot_2023-04-24_at_7.35.02_PM_6447123f67309.png> What animal did only 5 students like?",n/a,n/a,"c. dog",0,0,"d. fish",0.95,1,0,0.95,MA.2.DP.1.2,MA.2.DP.1.1
