cube,school,school_id,subject_id,subject,grade,item_id,item_name,kind,cube_gradeavg,fact_rebuild_gradeavg,cube_gmin,fact_rebuild_gmin,id_inconsistent_with_own_key
cube_grade_summary,Athenian,019eb11c-410a-7ffb-86e6-a0294c669670,7f89cc611e5d6b8a4772e76b726afa45668f5f3edb1a668746967c7cc7c0db0f,ELA,Grade 2,7334679341,Meet in the Middle: Weekly Assessment: Week 1,MISSING_from_cube,,0.7041,,0.1538,f
cube_grade_summary,Athenian,019eb11c-410a-7ffb-86e6-a0294c669670,a868cdad50d1254dadf0d67737d23709876629af79045768e4ae5197c54c8d98,ELA,Grade 2,8336110460,Module 8 Week 1 Vocabulary Quiz,MISSING_from_cube,,0.8625,,0.5625,f
cube_grade_summary,Athenian,019eb11c-410a-7ffb-86e6-a0294c669670,259ba97a7f99d495817938642328653a9091652ba10e466d49fe83701079f1db,ELA,Grade 3,7620225345,M4W2  Vocabulary Quiz,MISSING_from_cube,,0.8211,,0.0286,f
cube_grade_summary,Athenian,019eb11c-410a-7ffb-86e6-a0294c669670,2d13c6b9ee88333b837d57eda60e063f4fe154254e914f9a543301178f723fb8,ELA,Grade 4,7613842590,12/5 Reading Classwork,MISSING_from_cube,,0.8224,,0.2500,f
cube_grade_summary,Athenian,019eb11c-410a-7ffb-86e6-a0294c669670,69f84f043bcac55206c6b1c01aa2835e2dd1fab62ee36b8903b4f27cba8813d7,ELA,Grade 4,7625528258,12/9 Reading Classwork,MISSING_from_cube,,0.8333,,0.4000,f
cube_grade_summary,Athenian,019eb11c-410a-7ffb-86e6-a0294c669670,7b61b1fce534a45fdae58c2a2e449d9a0a514ffa01add688ca260b1ce0684f2d,ELA,Grade 5,7598715892,M4W2 Vocabulary Quiz,MISSING_from_cube,,0.9568,,0.7778,f
cube_grade_summary,Athenian,019eb11c-410a-7ffb-86e6-a0294c669670,685d58d64f3e9df29c19cb3cd82479a5d13aab49c93aae4f3703a64cfdb9120c,Math,Grade 1,7893373621,Chapter 2,MISSING_from_cube,,0.7295,,0.1395,f
cube_grade_summary,Athenian,019eb11c-410a-7ffb-86e6-a0294c669670,5e80a05c31bd43ba9d7fdab5bbd4a8051c7db2a1efbc9aacb0f6d723d4721f19,Math,Grade 1,8346484076,Classwork End of Year Test,MISSING_from_cube,,0.6817,,0.2857,f
cube_grade_summary,Athenian,019eb11c-410a-7ffb-86e6-a0294c669670,c9c2d7ea91d505b2de51fc1561835d5aa6c6f5750e0e77193fa74e51596899d5,Math,Grade 2,7687663925,Chapter 16,MISSING_from_cube,,0.9010,,0.6053,f
cube_grade_summary,Athenian,019eb11c-410a-7ffb-86e6-a0294c669670,c9c2d7ea91d505b2de51fc1561835d5aa6c6f5750e0e77193fa74e51596899d5,Math,Grade 2,7687678128,Chapter 16,MISSING_from_cube,,0.8901,,0.6667,f
