category,school_name,school_id,item_id,item_name,question_id,position_number,fact_points_possible,fact_points_possible_min,fact_distinct_pp,fact_rows,qd_total_points_set
fact_internally_inconsistent,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,7337971335,Chapter 6 Perimeter and Area,2018660747,1,3.0000,1.0000,2,44,"{1.0000,3.0000}"
fact_internally_inconsistent,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,7337971335,Chapter 6 Perimeter and Area,2018660747,2,3.0000,1.0000,2,44,"{1.0000,3.0000}"
fact_internally_inconsistent,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,7337971335,Chapter 6 Perimeter and Area,2018660747,3,3.0000,1.0000,2,44,{3.0000}
mismatch_strict,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,7892348513,Are Bionic Superhumans on the Horizon? Selection Test,2156294016,n/a,2.0000,2.0000,1,124,{1.0000}
mismatch_strict,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,7702559165,Chapter 16,2112892373,3,3.0000,3.0000,1,19,{1.0000}
mismatch_strict,Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,8341726127,Topic 8: The Industrial Revolution (1750?1914),2265107056,n/a,0.0000,0.0000,1,13,{1.0000}
mismatch_strict,Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,8369994919,Topic 9: Nationalism and the Spread of Democracy (1790–1914),2271800941,3,4.0000,4.0000,1,13,{1.0000}
mismatch_strict,Crestwell School,019eb11c-413c-7ed9-872e-0fe5e9a947b6,8007313247,Chapter 2 Test: Use Place Value,2187635391,1,2.0000,2.0000,1,32,{1.0000}
mismatch_strict,Crestwell School,019eb11c-413c-7ed9-872e-0fe5e9a947b6,8007313247,Chapter 2 Test: Use Place Value,2187635398,n/a,3.0000,3.0000,1,16,{1.0000}
mismatch_strict,Crestwell School,019eb11c-413c-7ed9-872e-0fe5e9a947b6,8007313247,Chapter 2 Test: Use Place Value,2187635400,1,3.0000,3.0000,1,16,{1.0000}
mismatch_strict,Crestwell School,019eb11c-413c-7ed9-872e-0fe5e9a947b6,8007313247,Chapter 2 Test: Use Place Value,2187635400,2,3.0000,3.0000,1,16,{1.0000}
mismatch_strict,Crestwell School,019eb11c-413c-7ed9-872e-0fe5e9a947b6,8007313247,Chapter 2 Test: Use Place Value,2187635400,3,3.0000,3.0000,1,16,{1.0000}
mismatch_strict,Crestwell School,019eb11c-413c-7ed9-872e-0fe5e9a947b6,8117881781,"Chapter 7 Test: Factors, Multiples, and Number Patterns",2211978506,n/a,4.0000,4.0000,1,48,{1.0000}
mismatch_strict,Crestwell School,019eb11c-413c-7ed9-872e-0fe5e9a947b6,8117881781,"Chapter 7 Test: Factors, Multiples, and Number Patterns",2211978507,1,4.0000,4.0000,1,13,{1.0000}
mismatch_strict,Crestwell School,019eb11c-413c-7ed9-872e-0fe5e9a947b6,8117881781,"Chapter 7 Test: Factors, Multiples, and Number Patterns",2211978509,2,3.0000,3.0000,1,26,{1.0000}
mismatch_strict,Crestwell School,019eb11c-413c-7ed9-872e-0fe5e9a947b6,8117881781,"Chapter 7 Test: Factors, Multiples, and Number Patterns",2211978510,3,4.0000,4.0000,1,13,{1.0000}
mismatch_strict,Crestwell School,019eb11c-413c-7ed9-872e-0fe5e9a947b6,8336368512,Module Assessment: Communication Nation,2263845734,n/a,2.0000,2.0000,1,30,{1.0000}
mismatch_strict,Crestwell School,019eb11c-413c-7ed9-872e-0fe5e9a947b6,8089974282,Module Assessment: Once Upon a Time,2205490801,n/a,5.0000,5.0000,1,16,{1.0000}
mismatch_strict,Crestwell School,019eb11c-413c-7ed9-872e-0fe5e9a947b6,8030023352,Use Your Words: Weekly Assessment: Week 1,2192781400,n/a,1.0000,1.0000,1,14,{2.0000}
missing_no_qd_denominator,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,7627000905,Comparing Numbers Review HW,2088934373,n/a,1.0000,1.0000,1,18,
missing_no_qd_denominator,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,7627000905,Comparing Numbers Review HW,2088934374,n/a,1.0000,1.0000,1,18,
missing_no_qd_denominator,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,7627000905,Comparing Numbers Review HW,2088934375,n/a,1.0000,1.0000,1,18,
missing_no_qd_denominator,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,7627000905,Comparing Numbers Review HW,2088934376,n/a,1.0000,1.0000,1,18,
missing_no_qd_denominator,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,7627000905,Comparing Numbers Review HW,2088934377,n/a,1.0000,1.0000,1,18,
missing_no_qd_denominator,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,7627000905,Comparing Numbers Review HW,2088934378,n/a,1.0000,1.0000,1,18,
missing_no_qd_denominator,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,7627000905,Comparing Numbers Review HW,2088934379,n/a,1.0000,1.0000,1,18,
missing_no_qd_denominator,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,7627000905,Comparing Numbers Review HW,2088934380,n/a,1.0000,1.0000,1,18,
missing_no_qd_denominator,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,7622185498,M4W2 Vocabulary Quiz,2087541684,1,9.0000,9.0000,1,20,
missing_no_qd_denominator,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,7622185498,M4W2 Vocabulary Quiz,2087541684,2,9.0000,9.0000,1,20,
missing_no_qd_denominator,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,7622185498,M4W2 Vocabulary Quiz,2087541684,3,9.0000,9.0000,1,20,
missing_no_qd_denominator,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,7622185498,M4W2 Vocabulary Quiz,2087541684,4,9.0000,9.0000,1,20,
missing_no_qd_denominator,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,7622185498,M4W2 Vocabulary Quiz,2087541684,5,9.0000,9.0000,1,20,
missing_no_qd_denominator,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,7622185498,M4W2 Vocabulary Quiz,2087541684,6,9.0000,9.0000,1,20,
missing_no_qd_denominator,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,7622185498,M4W2 Vocabulary Quiz,2087541684,7,9.0000,9.0000,1,20,
missing_no_qd_denominator,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,7622185498,M4W2 Vocabulary Quiz,2087541684,8,9.0000,9.0000,1,20,
missing_no_qd_denominator,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,7622185498,M4W2 Vocabulary Quiz,2087541684,9,9.0000,9.0000,1,20,
missing_no_qd_denominator,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,7629339742,Plant Needs 'Genius Challenge',2089691978,n/a,1.0000,1.0000,1,19,
