school_name,item_id,item_name,issue
Athenian Academy of Technology and the Arts,7612731858,CW - Ch. 8.4  pg. 367 #6-24 even - 12/4/24,double_space
Athenian Academy of Technology and the Arts,7619254630,CW - Ch. 8.4  pg. 367 #6-24 even - 12/4/24,double_space
Athenian Academy of Technology and the Arts,7608233480,CW - Ch. 8.4  pg. 367 #6-24 even - 12/4/24,double_space
Athenian Academy of Technology and the Arts,7338165192,from Into the Air /  from The Wright Brothers: How They Invented the Airplane Selection Test,double_space
Athenian Academy of Technology and the Arts,7892346402,from Into the Air /  from The Wright Brothers: How They Invented the Airplane Selection Test,double_space
Athenian Academy of Technology and the Arts,7619335553,HW 8.6  pgs. 331-332  #1-8 (skip #3),double_space
Athenian Academy of Technology and the Arts,7613842755,HW 8.6  pgs. 331-332  #1-8 (skip #3),double_space
Athenian Academy of Technology and the Arts,7613415036,HW 8.6  pgs. 331-332  #1-8 (skip #3),double_space
Athenian Academy of Technology and the Arts,7623185959,"HW  Ch. 8.10 pgs. 405-406  #1-17 odds, #21, 23, 25 - 12/9/24",double_space
Athenian Academy of Technology and the Arts,7623890633,"HW  Ch. 8.10 pgs. 405-406  #1-17 odds, #21, 23, 25 - 12/9/24",double_space
Athenian Academy of Technology and the Arts,7622593450,"HW  Ch. 8.10 pgs. 405-406  #1-17 odds, #21, 23, 25 - 12/9/24",double_space
Athenian Academy of Technology and the Arts,7623890689,"HW Ch. 8 Review pgs. 413-417  #1, 2, 4, 5, 9, 10, 11, 12, 13, 17",double_space
Athenian Academy of Technology and the Arts,7630568806,"HW Ch. 8 Review pgs. 413-417  #1, 2, 4, 5, 9, 10, 11, 12, 13, 17",double_space
Athenian Academy of Technology and the Arts,8093785079,M3W1 Vocabulary  Quiz,double_space
Athenian Academy of Technology and the Arts,7620546384,M4W2  Vocabulary Quiz,double_space
Athenian Academy of Technology and the Arts,7620225345,M4W2  Vocabulary Quiz,double_space
Athenian Academy of Technology and the Arts,7620500348,M4W2  Vocabulary Quiz,double_space
Athenian Academy of Technology and the Arts,7663638907,M4W3  Vocabulary Quiz,double_space
Athenian Academy of Technology and the Arts,8194198134,M4W3  Vocabulary Quiz,double_space
Athenian Academy of Technology and the Arts,7338194085,New Immigrants Share Their Stories / A Common Bond: Teens Forge Friendships. . .  Selection Test,double_space
Athenian Academy of Technology and the Arts,7892348525,New Immigrants Share Their Stories / A Common Bond: Teens Forge Friendships. . .  Selection Test,double_space
Athenian Academy of Technology and the Arts,7628056550,science CW FSSA book  matter #2,double_space
Athenian Academy of Technology and the Arts,7338364921,Unit 8 Benchmark Test: Living Things and  Their Parents,double_space
Athenian Academy of Technology and the Arts,7892349230,Unit 8 Benchmark Test: Living Things and  Their Parents,double_space
Athenian Academy of Technology and the Arts,7338365038,Unit 8 Benchmark Test: Living Things and  Their Parents,double_space
Athenian Academy of Technology and the Arts,7338365160,Unit 8 Benchmark Test: Living Things and  Their Parents,double_space
Athenian Academy of Technology and the Arts,7892349080,Unit 8 Benchmark Test: Living Things and  Their Parents,double_space
Athenian Academy of Technology and the Arts,7892349383,Unit 8 Benchmark Test: Living Things and  Their Parents,double_space
Central Florida Preparatory School,7891731484,Unit 8 Benchmark Test: Living Things and  Their Parents,double_space
Central Florida Preparatory School,8087300305,Unit 8 Benchmark Test: Living Things and  Their Parents,double_space
Central Florida Preparatory School,7891731749,Unit 8 Benchmark Test: Living Things and  Their Parents,double_space
Central Florida Preparatory School,7891731620,Unit 8 Benchmark Test: Living Things and  Their Parents,double_space
Athenian Academy of Technology and the Arts,7892348531,Not My Bones / from Fortune?s Bones Selection Test,mangled_apostrophe
Athenian Academy of Technology and the Arts,7338194137,Not My Bones / from Fortune?s Bones Selection Test,mangled_apostrophe
Athenian Academy of Technology and the Arts,7892346412,Through an Animal?s Eyes Unit Test,mangled_apostrophe
Athenian Academy of Technology and the Arts,7797124730,Through an Animal?s Eyes Unit Test,mangled_apostrophe
Athenian Academy of Technology and the Arts,7338365111,Unit 4 Benchmark Test: Earth?s Resources,mangled_apostrophe
Athenian Academy of Technology and the Arts,7338364983,Unit 4 Benchmark Test: Earth?s Resources,mangled_apostrophe
Athenian Academy of Technology and the Arts,7338364890,Unit 4 Benchmark Test: Earth?s Resources,mangled_apostrophe
Athenian Academy of Technology and the Arts,7892349076,Unit 4 Benchmark Test: Earth?s Resources,mangled_apostrophe
Athenian Academy of Technology and the Arts,7892349226,Unit 4 Benchmark Test: Earth?s Resources,mangled_apostrophe
Athenian Academy of Technology and the Arts,7892349379,Unit 4 Benchmark Test: Earth?s Resources,mangled_apostrophe
Athenian Academy of Technology and the Arts,7892346388,"What?s so Funny, Mr. Scieszka? Selection Test",mangled_apostrophe
Athenian Academy of Technology and the Arts,7338165131,"What?s so Funny, Mr. Scieszka? Selection Test",mangled_apostrophe
Athenian Academy of Technology and the Arts,7797124721,Wild Animals Aren?t Pets / Let People Own Exotic Animals Selection Test,mangled_apostrophe
Athenian Academy of Technology and the Arts,7892346411,Wild Animals Aren?t Pets / Let People Own Exotic Animals Selection Test,mangled_apostrophe
Central Florida Preparatory School,7891731612,Unit 4 Benchmark Test: Earth?s Resources,mangled_apostrophe
