check_name,school_id,subject_id,item_id,drift_type,cube_avg,fact_avg,cube_min,fact_min,cube_max,fact_max
cube_grade_summary,019eb11c-410a-7ffb-86e6-a0294c669670,a868cdad50d1254dadf0d67737d23709876629af79045768e4ae5197c54c8d98,,VALUE_DRIFT,0.913194,0.895089,0.250000,0.250000,1.000000,1.000000
cube_grade_summary,019eb11c-410a-7ffb-86e6-a0294c669670,2d13c6b9ee88333b837d57eda60e063f4fe154254e914f9a543301178f723fb8,,STALE_CUBE_ROW,0.822368,,0.250000,,1.000000,
cube_grade_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,a558411fde85105bca87dc87205258bf647f95cdf493e6d86a2fe2f9594c8890,,VALUE_DRIFT,0.752436,0.748253,0.222222,0.222222,1.000000,1.000000
cube_grade_summary,019eb11c-410a-7ffb-86e6-a0294c669670,7b61b1fce534a45fdae58c2a2e449d9a0a514ffa01add688ca260b1ce0684f2d,,VALUE_DRIFT,0.988889,0.973684,0.777778,0.777778,1.000000,1.000000
cube_grade_summary,019eb11c-410a-7ffb-86e6-a0294c669670,624e89a8f7bc9b0ed781a8f4fe30316afc70591b633db10549fce4ab1e94e5c8,,VALUE_DRIFT,0.807432,0.821759,0.375000,0.375000,1.000000,1.000000
cube_grade_summary,019eb11c-410a-7ffb-86e6-a0294c669670,69f84f043bcac55206c6b1c01aa2835e2dd1fab62ee36b8903b4f27cba8813d7,,VALUE_DRIFT,0.800000,0.831579,0.800000,0.400000,0.800000,1.000000
cube_grade_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,4d82ed8f667fe9e0fcfa9ce595aa70d78fef462f764b0b8aedee7ca3addf41f4,,VALUE_DRIFT,0.850000,0.835697,0.333333,0.333333,1.000000,1.000000
cube_grade_summary,019eb11c-410a-7ffb-86e6-a0294c669670,259ba97a7f99d495817938642328653a9091652ba10e466d49fe83701079f1db,,VALUE_DRIFT,0.937594,0.898747,0.619048,0.028571,1.000000,1.000000
cube_grade_summary,019eb11c-410a-7ffb-86e6-a0294c669670,5e80a05c31bd43ba9d7fdab5bbd4a8051c7db2a1efbc9aacb0f6d723d4721f19,,VALUE_DRIFT,0.632410,0.654453,0.285714,0.285714,0.964286,1.000000
cube_grade_summary,019eb11c-410a-7ffb-86e6-a0294c669670,c9c2d7ea91d505b2de51fc1561835d5aa6c6f5750e0e77193fa74e51596899d5,,VALUE_DRIFT,0.895139,0.895236,0.666667,0.605263,1.000000,1.000000
cube_grade_summary,019eb11c-410a-7ffb-86e6-a0294c669670,2d13c6b9ee88333b837d57eda60e063f4fe154254e914f9a543301178f723fb8,,VALUE_DRIFT,0.869048,0.846875,0.500000,0.250000,1.000000,1.000000
cube_grade_summary,019eb11c-410a-7ffb-86e6-a0294c669670,a868cdad50d1254dadf0d67737d23709876629af79045768e4ae5197c54c8d98,8336110460,STALE_CUBE_ROW,0.862500,,0.562500,,1.000000,
cube_grade_summary,019eb11c-410a-7ffb-86e6-a0294c669670,c9c2d7ea91d505b2de51fc1561835d5aa6c6f5750e0e77193fa74e51596899d5,,STALE_CUBE_ROW,0.895275,,0.605263,,1.000000,
cube_grade_summary,019eb11c-410a-7ffb-86e6-a0294c669670,7f89cc611e5d6b8a4772e76b726afa45668f5f3edb1a668746967c7cc7c0db0f,,VALUE_DRIFT,0.735653,0.725944,0.357143,0.153846,1.000000,1.000000
cube_grade_summary,019eb11c-410a-7ffb-86e6-a0294c669670,2d13c6b9ee88333b837d57eda60e063f4fe154254e914f9a543301178f723fb8,7613842590,STALE_CUBE_ROW,0.822368,,0.250000,,1.000000,
cube_grade_summary,019eb11c-410a-7ffb-86e6-a0294c669670,685d58d64f3e9df29c19cb3cd82479a5d13aab49c93aae4f3703a64cfdb9120c,,STALE_CUBE_ROW,0.729535,,0.139535,,1.000000,
cube_grade_summary,019eb11c-410a-7ffb-86e6-a0294c669670,685d58d64f3e9df29c19cb3cd82479a5d13aab49c93aae4f3703a64cfdb9120c,,VALUE_DRIFT,0.874175,0.827517,0.295452,0.139535,1.000000,1.000000
cube_grade_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,07c8e49d5072074c54cfbdb917a6910defa630b9401691850e4426bd67b5f44e,7997342490,VALUE_DRIFT,0.796309,0.767857,0.409091,0.227273,0.909091,0.909091
cube_grade_summary,019eb11c-410a-7ffb-86e6-a0294c669670,685d58d64f3e9df29c19cb3cd82479a5d13aab49c93aae4f3703a64cfdb9120c,7893373621,STALE_CUBE_ROW,0.729535,,0.139535,,1.000000,
