school_id,item_id,item_name,user_uid,question_id,position_number,answer_submission,collapsed_source_rows,distinct_attempts,distinct_items,distinct_sections,kept_attempt_no,kept_points_received,max_points_available,points_lost,points_possible,verdict
019eb11c-413c-7ed9-872e-0fe5e9a947b6,8086935837,Chapter 6 Test: Apply Multiplication to Perimeter and Area,134955354,2204707446,1,n/a,2,2,1,1,2,0.0000,3.0000,3.0000,3.0000,WINNER_KEPT_LOWER_SCORE
019eb11c-413b-7a66-a7d8-a18f14736ede,8247281686,Topic 5: World War I and the 1920s,118395893,2247377008,2,Believed the United States should help the Allies,2,2,1,1,2,1.0000,3.0000,2.0000,3.0000,WINNER_KEPT_LOWER_SCORE
019eb11c-413b-7a66-a7d8-a18f14736ede,8247281686,Topic 5: World War I and the 1920s,74262896,2247377008,2,Believed the United States should help the Allies,2,2,1,1,2,1.0000,3.0000,2.0000,3.0000,WINNER_KEPT_LOWER_SCORE
019eb11c-413c-7ed9-872e-0fe5e9a947b6,8086935837,Chapter 6 Test: Apply Multiplication to Perimeter and Area,134955354,2204707442,1,n/a,2,2,1,1,2,0.0000,2.0000,2.0000,2.0000,WINNER_KEPT_LOWER_SCORE
019eb11c-413c-7ed9-872e-0fe5e9a947b6,8086935837,Chapter 6 Test: Apply Multiplication to Perimeter and Area,134955354,2204707444,3,n/a,2,2,1,1,2,0.0000,2.0000,2.0000,3.0000,WINNER_KEPT_LOWER_SCORE
019eb11c-413b-7a66-a7d8-a18f14736ede,8095123351,Topic 2,116903216,2206635611,n/a,a. g = 0.4t,2,2,1,1,2,0.0000,1.0000,1.0000,1.0000,WINNER_KEPT_LOWER_SCORE
019eb11c-413b-7a66-a7d8-a18f14736ede,8337316233,Weather Wise: Mod 6 Weekly Assessment: Week 1,118931489,2264077083,1,n/a,2,2,1,1,2,0.0000,1.0000,1.0000,1.0000,WINNER_KEPT_LOWER_SCORE
019eb11c-413b-7a66-a7d8-a18f14736ede,8095125773,Topic 2,124865505,2206637703,4,"<p dir=""ltr""><img src=""https://app.schoology.com/system/file",2,2,1,1,2,0.0000,1.0000,1.0000,1.0000,WINNER_KEPT_LOWER_SCORE
019eb11c-413b-7a66-a7d8-a18f14736ede,8095125773,Topic 2,124865505,2206637703,1,n/a,2,2,1,1,2,0.0000,1.0000,1.0000,1.0000,WINNER_KEPT_LOWER_SCORE
019eb11c-413b-7a66-a7d8-a18f14736ede,8247281686,Topic 5: World War I and the 1920s,124865987,2247377008,3,Believed the United States should help the Allies,2,2,1,1,2,0.0000,1.0000,1.0000,3.0000,WINNER_KEPT_LOWER_SCORE
019eb11c-413b-7a66-a7d8-a18f14736ede,8102313694,Unit 2 Part 1,124865992,2208325984,n/a,"b. It illustrates the central idea: ?The ?Join, or Die? cart",2,2,1,1,2,0.0000,1.0000,1.0000,1.0000,WINNER_KEPT_LOWER_SCORE
019eb11c-413b-7a66-a7d8-a18f14736ede,8123427408,Chapter 6 Test: Addition Strategies,132358919,2213143369,n/a,b. 6+6=12,2,2,1,1,2,0.0000,1.0000,1.0000,1.0000,WINNER_KEPT_LOWER_SCORE
019eb11c-413b-7a66-a7d8-a18f14736ede,8118219310,Topic 3,134825450,2212052581,n/a,e. 4n + 22 ? 12 + 8n,2,2,1,1,2,0.0000,1.0000,1.0000,1.0000,WINNER_KEPT_LOWER_SCORE
019eb11c-413b-7a66-a7d8-a18f14736ede,8118219310,Topic 3,134825450,2212052578,n/a,a. 5(m + c),2,2,1,1,2,0.0000,1.0000,1.0000,1.0000,WINNER_KEPT_LOWER_SCORE
019eb11c-413b-7a66-a7d8-a18f14736ede,8118219310,Topic 3,134825450,2212052581,n/a,d. 4(3n ? 2),2,2,1,1,2,0.0000,1.0000,1.0000,1.0000,WINNER_KEPT_LOWER_SCORE
019eb11c-413b-7a66-a7d8-a18f14736ede,8095122686,Topic 2,138600375,2206635502,3,2,2,2,1,1,2,0.0000,1.0000,1.0000,1.0000,WINNER_KEPT_LOWER_SCORE
019eb11c-413b-7a66-a7d8-a18f14736ede,8095122686,Topic 2,138600375,2206635502,4,16,2,2,1,1,2,0.0000,1.0000,1.0000,1.0000,WINNER_KEPT_LOWER_SCORE
019eb11c-413b-7a66-a7d8-a18f14736ede,8118219310,Topic 3,138600376,2212052581,n/a,b. ?8 + 12n,2,2,1,1,2,0.0000,1.0000,1.0000,1.0000,WINNER_KEPT_LOWER_SCORE
019eb11c-413b-7a66-a7d8-a18f14736ede,8118219310,Topic 3,138600376,2212052581,n/a,e. 4n + 22 ? 12 + 8n,2,2,1,1,2,0.0000,1.0000,1.0000,1.0000,WINNER_KEPT_LOWER_SCORE
