school_name,item_id,item_name,user_uid,question_id,position_number,answer_submission,rows_in_partition,distinct_orderkey,distinct_submission_grade,submission,points_received,points_possible,keep_determinism
Athenian Academy of Technology and the Arts,7893397296,Chapter 11,117456791,2156448417,1,n/a,2,1,1,1,1.0000,1.0000,ARBITRARY_KEEP_score_identical
Athenian Academy of Technology and the Arts,7893397296,Chapter 11,117456791,2156448417,3,25 ¢,2,1,1,1,1.0000,1.0000,ARBITRARY_KEEP_score_identical
Athenian Academy of Technology and the Arts,7893397296,Chapter 11,117456791,2156448417,2,62 ¢,2,1,1,1,1.0000,1.0000,ARBITRARY_KEEP_score_identical
Athenian Academy of Technology and the Arts,7893397296,Chapter 11,123325909,2156448417,1,25 ¢,2,1,1,1,0.0000,1.0000,ARBITRARY_KEEP_score_identical
Athenian Academy of Technology and the Arts,7893397296,Chapter 11,123325909,2156448417,3,62 ¢,2,1,1,1,0.0000,1.0000,ARBITRARY_KEEP_score_identical
Athenian Academy of Technology and the Arts,7893397296,Chapter 11,123325909,2156448417,2,n/a,2,1,1,1,0.0000,1.0000,ARBITRARY_KEEP_score_identical
Athenian Academy of Technology and the Arts,7893397296,Chapter 11,123325910,2156448417,3,25 ¢,2,1,1,1,1.0000,1.0000,ARBITRARY_KEEP_score_identical
Athenian Academy of Technology and the Arts,7893397296,Chapter 11,123325910,2156448417,2,62 ¢,2,1,1,1,1.0000,1.0000,ARBITRARY_KEEP_score_identical
Athenian Academy of Technology and the Arts,7893397296,Chapter 11,123325910,2156448417,1,n/a,2,1,1,1,1.0000,1.0000,ARBITRARY_KEEP_score_identical
Athenian Academy of Technology and the Arts,7893397296,Chapter 11,123325913,2156448417,2,62 ¢,2,1,1,1,1.0000,1.0000,ARBITRARY_KEEP_score_identical
Athenian Academy of Technology and the Arts,7893397296,Chapter 11,123325913,2156448417,3,25 ¢,2,1,1,1,1.0000,1.0000,ARBITRARY_KEEP_score_identical
Athenian Academy of Technology and the Arts,7893397296,Chapter 11,123325913,2156448417,1,n/a,2,1,1,1,1.0000,1.0000,ARBITRARY_KEEP_score_identical
Athenian Academy of Technology and the Arts,7893397296,Chapter 11,123325915,2156448417,2,62 ¢,2,1,1,1,1.0000,1.0000,ARBITRARY_KEEP_score_identical
Athenian Academy of Technology and the Arts,7893397296,Chapter 11,123325915,2156448417,1,n/a,2,1,1,1,1.0000,1.0000,ARBITRARY_KEEP_score_identical
Athenian Academy of Technology and the Arts,7893397296,Chapter 11,123325915,2156448417,3,25 ¢,2,1,1,1,1.0000,1.0000,ARBITRARY_KEEP_score_identical
