cube,kind,school_id,subject_id,item_id,cube_id_hash_mismatch,cube_grade_avg,fact_grade_avg,cube_grade_min,fact_grade_min,cube_grade_max,fact_grade_max,school_name,item_name,subject,grade
cube_grade_summary,MISSING_FROM_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,253cf1d595e25c76b7c0f8df69e24fc5920a0b1e07f73512a6caddc19a6d5403,7702561239,f,,0.925208,,0.842105,,1.000000,Athenian Academy of Technology and the Arts,Chapter 18,Math,Grade K
cube_grade_summary,MISSING_FROM_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,259ba97a7f99d495817938642328653a9091652ba10e466d49fe83701079f1db,7620225345,f,,0.821053,,0.028571,,1.000000,Athenian Academy of Technology and the Arts,M4W2  Vocabulary Quiz,ELA,Grade 3
cube_grade_summary,MISSING_FROM_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,2d13c6b9ee88333b837d57eda60e063f4fe154254e914f9a543301178f723fb8,7613842590,f,,0.822368,,0.250000,,1.000000,Athenian Academy of Technology and the Arts,12/5 Reading Classwork,ELA,Grade 4
cube_grade_summary,MISSING_FROM_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,3b783afe7d3956fcd19dafa6ad0feececa7b2cabcb31a0ed68daef9b10db5377,7702555934,f,,0.835659,,0.393939,,1.000000,Athenian Academy of Technology and the Arts,Chapter 18,Math,Grade 5
cube_grade_summary,MISSING_FROM_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,5e80a05c31bd43ba9d7fdab5bbd4a8051c7db2a1efbc9aacb0f6d723d4721f19,8346484076,f,,0.681684,,0.285714,,1.000000,Athenian Academy of Technology and the Arts,Classwork End of Year Test,Math,Grade 1
cube_grade_summary,MISSING_FROM_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,624e89a8f7bc9b0ed781a8f4fe30316afc70591b633db10549fce4ab1e94e5c8,7637896011,f,,0.852941,,0.625000,,1.000000,Athenian Academy of Technology and the Arts,Adding and Subtracting Money - 12/16/24,Math,Grade 3
cube_grade_summary,MISSING_FROM_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,685d58d64f3e9df29c19cb3cd82479a5d13aab49c93aae4f3703a64cfdb9120c,7893373621,f,,0.729535,,0.139535,,1.000000,Athenian Academy of Technology and the Arts,Chapter 2,Math,Grade 1
cube_grade_summary,MISSING_FROM_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,69f84f043bcac55206c6b1c01aa2835e2dd1fab62ee36b8903b4f27cba8813d7,7625528258,f,,0.833333,,0.400000,,1.000000,Athenian Academy of Technology and the Arts,12/9 Reading Classwork,ELA,Grade 4
cube_grade_summary,MISSING_FROM_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,7b61b1fce534a45fdae58c2a2e449d9a0a514ffa01add688ca260b1ce0684f2d,7598715892,f,,0.956790,,0.777778,,1.000000,Athenian Academy of Technology and the Arts,M4W2 Vocabulary Quiz,ELA,Grade 5
cube_grade_summary,MISSING_FROM_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,7f89cc611e5d6b8a4772e76b726afa45668f5f3edb1a668746967c7cc7c0db0f,7334679341,f,,0.704098,,0.153846,,1.000000,Athenian Academy of Technology and the Arts,Meet in the Middle: Weekly Assessment: Week 1,ELA,Grade 2
