"Item ID","Item Name","Question ID","Associated Question ID","Total Points","Question Type",Question,"Position Number",Sub-Question,"Answer Option","Answer Breakdown","Answer Breakdown","Correct Answer","Correctly Answered","Most Points Earned","Least Points Earned","Average Points Earned"
8370107883,"Influential documents quiz",2271833532,,1,"Multiple Choice","Which of the following was the first legal document in the new world?",n/a,n/a,"a. Magna Carta",2,0.08,"c. Mayflower Compact",0.75,1,0,0.75
8370107883,"Influential documents quiz",2271833532,,1,"Multiple Choice","Which of the following was the first legal document in the new world?",n/a,n/a,"b. Articles of Confederation",4,0.17,"c. Mayflower Compact",0.75,1,0,0.75
8370107883,"Influential documents quiz",2271833532,,1,"Multiple Choice","Which of the following was the first legal document in the new world?",n/a,n/a,"c. Mayflower Compact",18,0.75,"c. Mayflower Compact",0.75,1,0,0.75
8370107883,"Influential documents quiz",2271833532,,1,"Multiple Choice","Which of the following was the first legal document in the new world?",n/a,n/a,"d. Virginia Statute on Religious Freedom",0,0,"c. Mayflower Compact",0.75,1,0,0.75
8370107883,"Influential documents quiz",2271833815,,1,"Multiple Choice","Which of the following is first representative body in the new world?",n/a,n/a,"a. Federlists",0,0,"b. House of Burgesses",0.75,1,0,0.75
8370107883,"Influential documents quiz",2271833815,,1,"Multiple Choice","Which of the following is first representative body in the new world?",n/a,n/a,"b. House of Burgesses",18,0.75,"b. House of Burgesses",0.75,1,0,0.75
8370107883,"Influential documents quiz",2271833815,,1,"Multiple Choice","Which of the following is first representative body in the new world?",n/a,n/a,"c. Magna Carta",0,0,"b. House of Burgesses",0.75,1,0,0.75
8370107883,"Influential documents quiz",2271833815,,1,"Multiple Choice","Which of the following is first representative body in the new world?",n/a,n/a,"d. Articles of Confederation",6,0.25,"b. House of Burgesses",0.75,1,0,0.75
8370107883,"Influential documents quiz",2271833892,,1,True/False,"The Articles of Confederation was a successful early model of American Government",n/a,n/a,True,3,0.13,False,0.88,1,0,0.88
8370107883,"Influential documents quiz",2271833892,,1,True/False,"The Articles of Confederation was a successful early model of American Government",n/a,n/a,False,21,0.88,False,0.88,1,0,0.88
8370107883,"Influential documents quiz",2271834304,,1,"Multiple Choice","Who created Common Sense",n/a,n/a,"a. Thomas Paine",23,0.96,"a. Thomas Paine",0.96,1,0,0.96
8370107883,"Influential documents quiz",2271834304,,1,"Multiple Choice","Who created Common Sense",n/a,n/a,"b. John Locke",1,0.04,"a. Thomas Paine",0.96,1,0,0.96
8370107883,"Influential documents quiz",2271834304,,1,"Multiple Choice","Who created Common Sense",n/a,n/a,"c. Thomas Hobbes",0,0,"a. Thomas Paine",0.96,1,0,0.96
8370107883,"Influential documents quiz",2271834304,,1,"Multiple Choice","Who created Common Sense",n/a,n/a,"d. Jean Jacques Rousseau",0,0,"a. Thomas Paine",0.96,1,0,0.96
8370107883,"Influential documents quiz",2271834659,,1,"Multiple Choice","Which of the following was created by Alexander Hamilton, James Madison, and John Jay?",n/a,n/a,"a. Common Sense",0,0,"d. The Federalist Papers",1,1,1,1
8370107883,"Influential documents quiz",2271834659,,1,"Multiple Choice","Which of the following was created by Alexander Hamilton, James Madison, and John Jay?",n/a,n/a,"b. Two Treatises on Government",0,0,"d. The Federalist Papers",1,1,1,1
8370107883,"Influential documents quiz",2271834659,,1,"Multiple Choice","Which of the following was created by Alexander Hamilton, James Madison, and John Jay?",n/a,n/a,"c. The Magna Carta",0,0,"d. The Federalist Papers",1,1,1,1
8370107883,"Influential documents quiz",2271834659,,1,"Multiple Choice","Which of the following was created by Alexander Hamilton, James Madison, and John Jay?",n/a,n/a,"d. The Federalist Papers",24,1,"d. The Federalist Papers",1,1,1,1
8370107883,"Influential documents quiz",2271835423,,1,"Multiple Choice","Which of the following is most directly tied to the first amendment?",n/a,n/a,"a. House of Burgesses",1,0.04,"c. Virginia Statute on Religious Freedom",0.92,1,0,0.92
8370107883,"Influential documents quiz",2271835423,,1,"Multiple Choice","Which of the following is most directly tied to the first amendment?",n/a,n/a,"b. Two Treatises on Government",1,0.04,"c. Virginia Statute on Religious Freedom",0.92,1,0,0.92
8370107883,"Influential documents quiz",2271835423,,1,"Multiple Choice","Which of the following is most directly tied to the first amendment?",n/a,n/a,"c. Virginia Statute on Religious Freedom",22,0.92,"c. Virginia Statute on Religious Freedom",0.92,1,0,0.92
8370107883,"Influential documents quiz",2271835423,,1,"Multiple Choice","Which of the following is most directly tied to the first amendment?",n/a,n/a,"d. Federalist Papers",0,0,"c. Virginia Statute on Religious Freedom",0.92,1,0,0.92
8370107883,"Influential documents quiz",2271836069,,1,"Multiple Choice","Which of the following came first",n/a,n/a,"a. Virginia Statute on Religious Freedom",1,0.04,"b. Magna Carta",0.67,1,0,0.67
8370107883,"Influential documents quiz",2271836069,,1,"Multiple Choice","Which of the following came first",n/a,n/a,"b. Magna Carta",16,0.67,"b. Magna Carta",0.67,1,0,0.67
8370107883,"Influential documents quiz",2271836069,,1,"Multiple Choice","Which of the following came first",n/a,n/a,"c. English Bill of Rights",3,0.13,"b. Magna Carta",0.67,1,0,0.67
8370107883,"Influential documents quiz",2271836069,,1,"Multiple Choice","Which of the following came first",n/a,n/a,"d. Mayflower Compact",4,0.17,"b. Magna Carta",0.67,1,0,0.67
