Identifier,Strand,strand_ID,ID
12922b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",71fb965f9bfb23d4f6b1fac4e3f599f3b8dd583b84d40e62573cd051b55a5f1d,9
11822b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",35f589f340e2a2a7435a7861ea556cc1bc3b075df1090c08349d460ba2ac7c2d,30
11df2b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",3837bb6677b2592be010e042dc4ac1013d39e900ca08904bbd532293c837d23d,70
10a12b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",bf8e8ddd45151fa2ebee9bf7c3501e480f50df3692ba3c34010394dee92a3431,77
108f2b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",7cdf12682d48fefb0c7afc9fe82f785643bf33713fea7ab1880dee82b7f66ef7,121
11dd2b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",60b924a1ad8ddd2de4a8d604765ebc098357f2de86b885b1478eb9fb88aa20ce,122
10a02b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",8130ab20dd585e0c7a2fafd2fbb90b51e8cea533265cd3c189150e4692b67baf,186
10fa2b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",1886c732b03a2db465099cb6132810b21d510d7d88e5eaaa394a6646583c9fc7,195
fa81b207-8bad-43d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",5baf4247545b9c1145c8ef100a3156b26de02f15a6a1b8880a887da4c123a634,202
116d2b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",ffea68497c37763078835d4b04f36f62c91818784e2f2d4acee761509823bd76,203
ffa1b207-8bad-43d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",f79f967eb0f174186d465eebbf21b5bda6810a0205f54ba2e3d50f72fdf6e6b6,233
12032b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",b2d74e353e1ea2c6a1c37cab1de507ddb7490a65c92e7db9284fb32cb7d0f2fd,261
112c2b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",debfe4f3a860b8426a072528283f16525009584bd0feee98f47676874131f222,314
fe21b207-8bad-43d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",089db765a9cf95f9ed9305776d129169cb4fb1e44830800af8fc913e1c2d6572,336
11792b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",d1774654a18924aea3647916646395f93cba06e15ee59616a91a6d428c3358f2,338
12dd2b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",cfbb0abe0695b446c1a868feb953c0b0be14cfecf4334ef4af872e4029072172,362
f921b207-8bad-43d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",40559fee360081960338b5cb3777e3f342fb772e0c98273099762a84c944c6e1,413
fc41b207-8bad-43d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",6e84bcca499004d0b3739bccd331ee87ee1037a47be16abf4d519c9c7150e586,414
107b2b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",02457214b379303189f4797ce3bd9e16a87c76a613a23e37a83e975845ca082c,445
f8f1b207-8bad-43d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",2c43453c7a9ab451eb3e21ab3cec10acce4484ce6c0cadc664118cab10140a32,465
12652b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",781ffae3c3e84dee993e5b6ca2bd08583178dbf58ce564b3b3e3fed2a27dc4fc,467
210e2b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",d7fb2035594273bda0a7d4f52d940b852397a2a052da3e70866d912ae75c4af3,491
12952b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",aa7999908a57eea0bf522933ea5624c60046885bdbf25b467b94519e71f26fc2,496
10282b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",023f7d5b91b8bbbc36be40d5a5d08aba360b7e3c708ff5c148463cc1b977f6f3,531
11252b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",797cfaabd3caf433153f1c1fbd83c72712052c816098778ebbad684539ac8cbe,532
10d62b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",ed64613db10504202177359a515d560c7c8e600370d47bdd1f2365bd3e7ffe08,570
12442b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",7fe08de4ccba07dd54d2b926624e71511267e925d149bc0ddd34612f4dd3df00,571
12672b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",0f1fe3d4330315f6a257ed71ef0b447e9d5c7be6e88edd34ee311bd10151d015,582
11732b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",9c2fec304ba3fc53c932b915ee66c70aa68664ae6fdcd049bc27012d4257a747,651
12f12b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",4cbf0c970b4af9d3e67493ec01920e02f864598979d0402013da14e30f017443,662
10fe2b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",bb3df0b48a12d0e08c7b61fce0f95e7537028d79cdc22f48a606a9f04cd9bc22,669
10892b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",4ee206e53e5c35b0e4607cad03d7e9a4659de14763cc9078797ff2d6800383ee,674
21a52b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",a6bb97fbf8fc89fc493e3c4fc1365fb9e2a4a38c96175831a5cc065629138355,693
123f2b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",76198ee2b86154d571ce213e6fbff5ddeb79f0aed8b6395c6f1ebddb30c9aedd,702
fc61b207-8bad-43d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",ccc6d65297459aaeb235dcd5ad09cd2d3758a3eec1b440d30940993cfc11fc0b,711
11832b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",228d4b47fcab4d3077f88baa5ffa6cc8e8f9e61a19a16be3c2333a7977216e90,712
11fe2b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",62bd560e11c7a9c2933ffaf431293c2f67045c65b3632881d2b5b7d648bf2d25,713
11ff2b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",a46e964b12a6e8b2ab703e97a45b2d285eb002fd4f1131e5a82a14ba9a8de0f5,731
123e2b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",9066d6e7a8b62cb7393892c969bd36b4ba674e211d3fb24169bcb1424051c9bd,732
12992b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",17edc3397ebd2a5747953776db306f162dc65d850c49829ca64545311500105b,837
12972b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",801d2eb9151ae6cc6488c77acd73533968d400b2c7a0d385de4f7f7741ccef68,893
10202b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",fca2e8ca219989bfc01300df4b6c87ed2e64b0f77030295ff8ae0902e0ade2d8,915
12222b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",4d1da9839f138c6995d88d483a5cf1ee1eb5023d9d27036272f2a42bcb57056c,1070
126a2b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",62acacf37bcf9bb913162b248fc6825f32583a058fc3940d72d84703f0899daa,1161
fdd1b207-8bad-43d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",3d2a71e04cfc63f0555026405a941da6b87a019ceeeafe15984c7c1daeafb7dd,1173
ff91b207-8bad-43d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",f5e2688c5dd44d10fb4a108142aa4f828e10d1b2600590759551e888c63a4e59,1196
11e22b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",ed26bb453b5f059ad2b7dc967a7642045b9279379bf457e1df53b87d0273c6e5,1217
11de2b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",8923fcdd1bd44ab0b90dda6122e46fc1a77fca9583b084d426055e1c345b4a99,1229
ffc1b207-8bad-43d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",6dba3371dd99f2ce27f92ea5ca2389fbbeb623e2ada18fc9f34b4651e362182f,1263
10552b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",d1c685d962b80980212075f3e85e54aeef03c931f5ba7d7f5714b82fd4c99313,1274
104c2b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",1dab2e1d700e6985b65a2cd8c7028f0263200f972694256e9b88f861a764ce2c,1316
11802b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",2782e79c878137d51b4634120f0d1a5ddd7ee7853ce13133199856811866c1a0,1322
109f2b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",191662b54d0274dbeb1ccb4b4e9fe2e05bf3c40d87df690f52662f6ac8960496,1455
fdf1b207-8bad-43d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",93e93c95d94e83d27dd6631fdb8fadf6259e685e537ae2df99cbf4658c09462c,1502
fc11b207-8bad-43d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",0bf50bdb39fa821a38ab10feb8b01a19fa31ac7658550764cccf590691182c6d,1534
12232b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",e4ec47f23cf12a7c23c932dc172d3debb8071f7fd44df96baf9e28ba44cac827,1550
12eb2b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",410c9fb558320fbcc49551312a19f951418bf5f83acc85b73bd23b106013c143,1562
11772b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",3861c606ab79a54fbcc95ef03571c78a9209a7533fd2a80496735a7a94ee623c,1572
10d82b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",bd1d00a6a3bd60a160e3c9957eea6c1f7eb37d6b1303df94df78ba4482a5e3c8,1595
11762b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",b71780cfd9e2a46d494fe27622ea3238fc8de3720e8fce94736581c679260128,1596
11292b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",cf4deb575481ecb32e532f30288459265d037c305e0c06c851c1eaba5954f929,1611
10542b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",e94652cc72c3cef72013c6980868f69411bcf5bb64af082c9ff87317ff946dbf,1622
10572b67-8bad-44d4-bb62-d37ecb91f432,"Skills, Techniques, and Processes",ec744ad59902c844dc6597e8a455808b8a38a07b5fc883b035005cefad62a1d4,1675
